,Y_true,Y_pred,PK_props,C_props,Sample_ids,Exercise_g,Repetition
0,0,0,0.21352421,0.78647584,C0,E,3
1,0,0,0.30301967,0.69698036,C0,E,2
2,0,1,0.5208804,0.47911963,C0,A,1
3,0,0,0.18660067,0.8133993,C0,A,2
4,0,0,0.43117318,0.56882685,C0,O,3
5,0,0,0.43887982,0.56112015,C0,U,1
6,0,0,0.34614158,0.6538585,C0,U,3
7,0,0,0.3263311,0.67366886,C0,E,1
8,0,0,0.30983505,0.6901649,C0,A,3
9,0,1,0.5088551,0.49114484,C0,O,1
10,0,0,0.39497602,0.605024,C0,I,1
11,0,0,0.28968668,0.7103133,C0,O,2
12,0,0,0.27228662,0.72771335,C0,I,2
13,0,0,0.4133955,0.58660454,C0,U,2
14,0,0,0.26014128,0.73985875,C0,I,3
15,0,0,0.21959448,0.7804055,C0,Acariciar,3
16,0,0,0.25335005,0.74665,C0,Hospital,2
17,0,0,0.49259806,0.50740194,C0,Petaca,1
18,0,0,0.24256879,0.7574312,C0,Agarrar,2
19,0,0,0.40653518,0.59346485,C0,Ciudad,1
20,0,0,0.24055777,0.75944227,C0,Apto,3
21,0,0,0.24270251,0.75729746,C0,Agarrar,3
22,0,0,0.41034624,0.5896538,C0,Hospital,1
23,0,0,0.19644538,0.8035546,C0,Aplaudir,3
24,0,0,0.26583087,0.73416907,C0,Apto,2
25,0,0,0.3172461,0.6827539,C0,Luna,2
26,0,0,0.44762337,0.5523766,C0,Petaca,3
27,0,0,0.21797933,0.7820206,C0,Plato,3
28,0,0,0.2538194,0.7461806,C0,Ciudad,2
29,0,0,0.24823874,0.75176126,C0,Bosque,2
30,0,0,0.22793175,0.77206826,C0,Plato,1
31,0,0,0.30104965,0.69895035,C0,Aplaudir,2
32,0,0,0.13480893,0.8651911,C0,Presa,3
33,0,0,0.3153559,0.68464416,C0,Bodega,2
34,0,0,0.24823987,0.7517601,C0,Barco,2
35,0,0,0.20518145,0.7948186,C0,Luna,3
36,0,0,0.46269596,0.53730404,C0,Bosque,3
37,0,0,0.2524869,0.74751306,C0,Dibujar,1
38,0,0,0.3016305,0.6983695,C0,Barco,1
39,0,0,0.262742,0.737258,C0,Campana,3
40,0,0,0.26755506,0.73244494,C0,Campana,2
41,0,0,0.18520641,0.8147936,C0,Ciudad,3
42,0,0,0.38728985,0.6127101,C0,Petaca,2
43,0,0,0.3580263,0.64197373,C0,Acariciar,2
44,0,0,0.23503496,0.764965,C0,Dibujar,3
45,0,0,0.29489383,0.7051062,C0,Montaña,3
46,0,0,0.47732273,0.5226773,C0,Montaña,2
47,0,0,0.22710672,0.77289325,C0,Establo,2
48,0,0,0.18233843,0.8176615,C0,Presa,2
49,0,0,0.23999935,0.76000065,C0,Establo,3
50,0,0,0.19505033,0.8049497,C0,Presa,1
51,0,0,0.37279817,0.6272018,C0,Pato,1
52,0,0,0.20178916,0.79821086,C0,Aplaudir,1
53,0,0,0.32063636,0.67936367,C0,Bodega,1
54,0,0,0.209066,0.79093397,C0,Agarrar,1
55,0,0,0.29466745,0.7053326,C0,Acariciar,1
56,0,0,0.44112813,0.5588718,C0,Campana,1
57,0,0,0.23457101,0.76542896,C0,Establo,1
58,0,0,0.26182562,0.7381744,C0,Montaña,1
59,0,0,0.19761245,0.80238754,C0,Bosque,1
60,0,0,0.47494644,0.52505356,C0,Dibujar,2
61,0,0,0.43156588,0.5684342,C0,Apto,1
62,0,0,0.22680868,0.77319133,C0,Pato,3
63,0,0,0.21172719,0.78827286,C0,Hospital,3
64,0,0,0.23854983,0.7614502,C0,Plato,2
65,0,0,0.3203925,0.6796075,C0,Barco,3
66,0,0,0.25630417,0.74369586,C0,Pato,2
67,0,0,0.2661352,0.73386484,C0,Bodega,3
68,0,1,0.54476607,0.45523393,C0,Luna,1
69,0,0,0.40606812,0.59393185,C0,Petaka,2
70,0,1,0.68293643,0.31706354,C0,Petaka,1
71,0,0,0.28300592,0.71699405,C0,Pataka,2
72,0,0,0.19855872,0.80144125,C0,Pakata,1
73,0,0,0.35821402,0.64178604,C0,Pakata,2
74,0,0,0.27823505,0.721765,C0,Pataka,3
75,0,0,0.26224583,0.7377541,C0,Pakata,3
76,0,0,0.20717998,0.79282,C0,Petaka,3
77,0,1,0.56147826,0.43852168,C0,Pataka,1
78,0,0,0.1946886,0.8053114,C1,U,2
79,0,0,0.31481308,0.6851869,C1,A,2
80,0,0,0.22057135,0.77942866,C1,O,1
81,0,0,0.26903638,0.73096365,C1,O,2
82,0,0,0.21451269,0.78548735,C1,O,3
83,0,0,0.18460086,0.81539917,C1,U,3
84,0,0,0.16159308,0.83840686,C1,E,3
85,0,0,0.31701723,0.68298274,C1,U,1
86,0,0,0.2593984,0.7406016,C1,E,1
87,0,0,0.15497924,0.8450208,C1,A,1
88,0,0,0.30646196,0.69353807,C1,A,3
89,0,0,0.16045299,0.83954704,C1,I,2
90,0,0,0.19037676,0.8096233,C1,I,1
91,0,0,0.36629072,0.6337093,C1,I,3
92,0,0,0.26749378,0.73250616,C1,E,2
93,0,0,0.23023102,0.76976895,C1,Barco,1
94,0,0,0.24066913,0.75933087,C1,Establo,2
95,0,0,0.17080398,0.82919604,C1,Montaña,1
96,0,0,0.35955998,0.64044005,C1,Agarrar,1
97,0,0,0.31492668,0.6850733,C1,Dibujar,2
98,0,0,0.34614015,0.65385985,C1,Bodega,2
99,0,0,0.26125914,0.73874086,C1,Petaca,1
100,0,0,0.23918058,0.76081944,C1,Bodega,3
101,0,0,0.39491457,0.60508543,C1,Agarrar,3
102,0,0,0.34424314,0.65575683,C1,Plato,3
103,0,0,0.22567731,0.7743227,C1,Bosque,1
104,0,0,0.25430048,0.7456995,C1,Acariciar,1
105,0,0,0.19357303,0.80642694,C1,Apto,1
106,0,0,0.26141897,0.738581,C1,Establo,3
107,0,0,0.28262952,0.71737045,C1,Dibujar,1
108,0,0,0.2727707,0.7272293,C1,Apto,3
109,0,0,0.28323117,0.71676886,C1,Aplaudir,3
110,0,0,0.27009496,0.72990507,C1,Barco,3
111,0,0,0.17224187,0.82775813,C1,Aplaudir,1
112,0,0,0.18439728,0.8156027,C1,Pato,1
113,0,0,0.29205,0.70795,C1,Montaña,3
114,0,0,0.2754933,0.7245067,C1,Plato,1
115,0,0,0.26335996,0.73664004,C1,Bosque,2
116,0,0,0.32195517,0.67804486,C1,Dibujar,3
117,0,0,0.43587264,0.5641274,C1,Petaca,3
118,0,0,0.25861153,0.74138844,C1,Bodega,1
119,0,0,0.38064378,0.6193562,C1,Hospital,3
120,0,0,0.21390201,0.786098,C1,Presa,1
121,0,0,0.18710564,0.81289434,C1,Campana,2
122,0,0,0.28343835,0.7165616,C1,Luna,3
123,0,0,0.27370897,0.726291,C1,Montaña,2
124,0,0,0.25100127,0.74899876,C1,Agarrar,2
125,0,0,0.2558711,0.74412894,C1,Hospital,1
126,0,0,0.31654498,0.68345505,C1,Establo,1
127,0,0,0.3220447,0.67795527,C1,Plato,2
128,0,0,0.32626608,0.6737339,C1,Ciudad,2
129,0,0,0.19250092,0.80749905,C1,Petaca,2
130,0,0,0.24706137,0.7529386,C1,Campana,1
131,0,0,0.24338739,0.7566126,C1,Apto,2
132,0,0,0.15350786,0.8464921,C1,Acariciar,3
133,0,0,0.2927769,0.7072231,C1,Pato,2
134,0,0,0.16159853,0.8384015,C1,Pato,3
135,0,0,0.3088129,0.69118714,C1,Barco,2
136,0,0,0.2035067,0.79649335,C1,Ciudad,1
137,0,0,0.25037357,0.7496264,C1,Campana,3
138,0,0,0.23535933,0.7646406,C1,Luna,1
139,0,0,0.3491464,0.6508536,C1,Presa,2
140,0,0,0.23936836,0.7606317,C1,Luna,2
141,0,0,0.18021184,0.8197881,C1,Hospital,2
142,0,0,0.20451409,0.7954859,C1,Acariciar,2
143,0,0,0.21282649,0.7871735,C1,Bosque,3
144,0,0,0.25901878,0.7409813,C1,Ciudad,3
145,0,0,0.40375343,0.5962466,C1,Presa,3
146,0,0,0.19425689,0.80574316,C1,Aplaudir,2
147,0,0,0.21631262,0.7836874,C1,Petaka,2
148,0,0,0.30455905,0.695441,C1,Pataka,1
149,0,0,0.19983023,0.80016977,C1,Petaka,1
150,0,0,0.25773796,0.742262,C1,Pakata,2
151,0,0,0.16133036,0.83866966,C1,Pakata,1
152,0,0,0.25572503,0.744275,C1,Pakata,3
153,0,0,0.21554351,0.78445655,C1,Pataka,3
154,0,0,0.17591791,0.824082,C1,Pataka,2
155,0,0,0.23061009,0.76939,C1,Petaka,3
156,0,0,0.28687075,0.7131293,C2,A,1
157,0,0,0.2255162,0.7744838,C2,E,1
158,0,0,0.17939107,0.820609,C2,A,3
159,0,0,0.18935981,0.8106402,C2,O,1
160,0,0,0.13154185,0.8684581,C2,O,3
161,0,0,0.22883192,0.77116805,C2,E,2
162,0,0,0.13206102,0.867939,C2,O,2
163,0,0,0.13742483,0.8625752,C2,U,3
164,0,0,0.18611026,0.8138897,C2,E,3
165,0,0,0.2066768,0.7933233,C2,A,2
166,0,0,0.27540386,0.72459614,C2,U,2
167,0,0,0.17068799,0.829312,C2,I,2
168,0,0,0.35137567,0.64862436,C2,U,1
169,0,0,0.3907041,0.6092959,C2,I,1
170,0,0,0.11224617,0.88775384,C2,I,3
171,0,0,0.33361492,0.6663851,C2,Montaña,2
172,0,0,0.19429201,0.805708,C2,Luna,3
173,0,0,0.30656856,0.69343144,C2,Hospital,1
174,0,0,0.108234644,0.8917653,C2,Presa,1
175,0,0,0.12323242,0.8767676,C2,Plato,2
176,0,0,0.16801393,0.83198607,C2,Apto,3
177,0,0,0.23120762,0.7687924,C2,Bosque,2
178,0,0,0.15745264,0.84254736,C2,Campana,1
179,0,0,0.20698488,0.7930152,C2,Campana,2
180,0,0,0.24387825,0.75612175,C2,Apto,1
181,0,0,0.35860363,0.6413964,C2,Acariciar,1
182,0,0,0.22327349,0.77672654,C2,Hospital,3
183,0,1,0.507742,0.492258,C2,Agarrar,1
