,Y_true,Y_pred,PK_props,C_props,Sample_ids,Exercise_g,Repetition
0,0,0,0.00032406123,0.999676,C0,E,3
1,0,0,0.00027142288,0.9997286,C0,E,2
2,0,1,0.61728185,0.38271815,C0,A,1
3,0,0,0.30344203,0.696558,C0,A,2
4,0,0,0.00074890314,0.99925107,C0,O,3
5,0,1,0.97896975,0.021030184,C0,U,1
6,0,1,0.9993073,0.0006927549,C0,U,3
7,0,0,3.4212449e-06,0.99999654,C0,E,1
8,0,1,0.95083654,0.049163435,C0,A,3
9,0,0,0.4575881,0.54241186,C0,O,1
10,0,0,0.0014281016,0.9985719,C0,I,1
11,0,1,0.88160634,0.11839366,C0,O,2
12,0,0,0.0003514455,0.9996486,C0,I,2
13,0,0,0.0075204005,0.99247956,C0,U,2
14,0,0,0.0003969264,0.9996031,C0,I,3
15,0,0,2.9990365e-06,0.999997,C0,Acariciar,3
16,0,0,0.00015473535,0.99984527,C0,Hospital,2
17,0,0,4.7405723e-07,0.9999995,C0,Petaca,1
18,0,1,0.9116453,0.088354714,C0,Agarrar,2
19,0,0,0.001202834,0.9987972,C0,Ciudad,1
20,0,0,0.002124011,0.99787605,C0,Apto,3
21,0,0,0.00045660028,0.99954337,C0,Agarrar,3
22,0,0,2.6112157e-05,0.9999739,C0,Hospital,1
23,0,1,0.85995346,0.14004655,C0,Aplaudir,3
24,0,1,0.98714787,0.012852078,C0,Apto,2
25,0,0,0.07953533,0.9204647,C0,Luna,2
26,0,1,0.70128447,0.29871553,C0,Petaca,3
27,0,0,0.00042310415,0.99957687,C0,Plato,3
28,0,0,0.0047894474,0.9952106,C0,Ciudad,2
29,0,0,0.00097275985,0.99902725,C0,Bosque,2
30,0,0,0.20633855,0.7936615,C0,Plato,1
31,0,1,0.94128186,0.0587181,C0,Aplaudir,2
32,0,0,0.00027415706,0.9997259,C0,Presa,3
33,0,0,0.00026179766,0.99973816,C0,Bodega,2
34,0,0,9.5868645e-06,0.99999046,C0,Barco,2
35,0,1,0.6546476,0.34535238,C0,Luna,3
36,0,0,0.052334014,0.94766605,C0,Bosque,3
37,0,0,0.002665377,0.9973346,C0,Dibujar,1
38,0,0,0.042675108,0.95732486,C0,Barco,1
39,0,0,0.083887905,0.9161121,C0,Campana,3
40,0,0,0.0017261006,0.99827385,C0,Campana,2
41,0,1,0.8319574,0.16804262,C0,Ciudad,3
42,0,1,0.8399317,0.16006827,C0,Petaca,2
43,0,0,1.7001239e-05,0.99998295,C0,Acariciar,2
44,0,0,0.00082693144,0.999173,C0,Dibujar,3
45,0,0,2.3111454e-06,0.99999774,C0,Montaña,3
46,0,0,0.0001074276,0.9998926,C0,Montaña,2
47,0,0,0.0006641288,0.9993358,C0,Establo,2
48,0,0,0.009315284,0.99068475,C0,Presa,2
49,0,0,0.00432601,0.99567395,C0,Establo,3
50,0,1,0.99852437,0.001475695,C0,Presa,1
51,0,1,0.8926322,0.10736786,C0,Pato,1
52,0,0,0.0014863627,0.99851364,C0,Aplaudir,1
53,0,1,0.9879677,0.012032267,C0,Bodega,1
54,0,0,0.067829356,0.9321706,C0,Agarrar,1
55,0,1,0.5192552,0.48074472,C0,Acariciar,1
56,0,0,0.00045264605,0.9995473,C0,Campana,1
57,0,1,0.9475083,0.05249176,C0,Establo,1
58,0,0,0.029355759,0.9706442,C0,Montaña,1
59,0,1,0.99904007,0.0009598635,C0,Bosque,1
60,0,0,0.08019868,0.9198013,C0,Dibujar,2
61,0,1,0.8689197,0.13108036,C0,Apto,1
62,0,1,0.9932805,0.0067195925,C0,Pato,3
63,0,0,5.150536e-07,0.9999995,C0,Hospital,3
64,0,1,0.81849766,0.18150234,C0,Plato,2
65,0,0,0.008763931,0.9912361,C0,Barco,3
66,0,1,0.8859827,0.11401734,C0,Pato,2
67,0,1,0.9286917,0.0713083,C0,Bodega,3
68,0,1,0.9976992,0.0023008238,C0,Luna,1
69,0,1,0.8612304,0.13876961,C0,Petaka,2
70,0,0,0.0013772564,0.9986228,C0,Petaka,1
71,0,0,0.0004461612,0.99955386,C0,Pataka,2
72,0,0,0.17600429,0.82399577,C0,Pakata,1
73,0,0,9.427481e-05,0.9999057,C0,Pakata,2
74,0,0,0.0010114069,0.99898857,C0,Pataka,3
75,0,1,0.9991992,0.0008008163,C0,Pakata,3
76,0,0,0.0049797907,0.99502015,C0,Petaka,3
77,0,1,0.56238925,0.4376108,C0,Pataka,1
78,0,1,0.998166,0.0018339544,C1,U,2
79,0,1,0.9792307,0.020769356,C1,A,2
80,0,1,0.92463636,0.07536362,C1,O,1
81,0,1,0.99867815,0.001321829,C1,O,2
82,0,0,0.20972224,0.7902778,C1,O,3
83,0,1,0.99989164,0.00010839425,C1,U,3
84,0,1,0.99822336,0.001776597,C1,E,3
85,0,0,3.7846283e-05,0.9999622,C1,U,1
86,0,1,0.9995491,0.00045089892,C1,E,1
87,0,0,0.18022603,0.81977403,C1,A,1
88,0,1,0.948422,0.051577922,C1,A,3
89,0,0,8.139628e-05,0.9999186,C1,I,2
90,0,1,0.64408994,0.3559101,C1,I,1
91,0,0,0.01722925,0.9827708,C1,I,3
92,0,1,0.99266875,0.00733123,C1,E,2
93,0,0,0.10475322,0.89524674,C1,Barco,1
94,0,1,0.99591297,0.004087,C1,Establo,2
95,0,0,0.003890973,0.99610907,C1,Montaña,1
96,0,0,0.25691527,0.7430847,C1,Agarrar,1
97,0,0,0.03728874,0.9627113,C1,Dibujar,2
98,0,0,0.10707974,0.89292026,C1,Bodega,2
99,0,0,0.024167039,0.975833,C1,Petaca,1
100,0,1,0.999997,2.930285e-06,C1,Bodega,3
101,0,0,0.046722595,0.95327747,C1,Agarrar,3
102,0,1,0.99967253,0.00032753687,C1,Plato,3
103,0,1,0.5450047,0.45499524,C1,Bosque,1
104,0,1,0.98914075,0.010859276,C1,Acariciar,1
105,0,0,0.005100118,0.9948999,C1,Apto,1
106,0,0,0.05434852,0.94565153,C1,Establo,3
107,0,1,0.9998808,0.00011916678,C1,Dibujar,1
108,0,1,0.7767081,0.22329183,C1,Apto,3
109,0,1,0.8746695,0.12533045,C1,Aplaudir,3
110,0,1,0.9478232,0.05217673,C1,Barco,3
111,0,0,0.28089464,0.71910536,C1,Aplaudir,1
112,0,0,0.18397847,0.8160215,C1,Pato,1
113,0,0,0.14537083,0.8546292,C1,Montaña,3
114,0,0,0.010389932,0.9896101,C1,Plato,1
115,0,1,0.9994178,0.0005822548,C1,Bosque,2
116,0,0,0.0076800017,0.99232,C1,Dibujar,3
117,0,1,0.9893287,0.0106712505,C1,Petaca,3
118,0,0,0.29485983,0.7051401,C1,Bodega,1
119,0,1,0.8674945,0.13250543,C1,Hospital,3
120,0,0,0.0027768484,0.99722314,C1,Presa,1
121,0,0,0.08242257,0.9175775,C1,Campana,2
122,0,1,0.5402889,0.45971107,C1,Luna,3
123,0,0,0.022177506,0.9778225,C1,Montaña,2
124,0,0,0.45165655,0.5483435,C1,Agarrar,2
125,0,0,0.002297644,0.9977024,C1,Hospital,1
126,0,1,0.99987924,0.000120790886,C1,Establo,1
127,0,0,0.09505709,0.90494287,C1,Plato,2
128,0,0,0.15940191,0.84059805,C1,Ciudad,2
129,0,1,0.57167965,0.4283203,C1,Petaca,2
130,0,0,0.0005788325,0.99942124,C1,Campana,1
131,0,1,0.7565949,0.24340515,C1,Apto,2
132,0,1,0.6334721,0.36652797,C1,Acariciar,3
133,0,0,0.33645156,0.66354847,C1,Pato,2
134,0,1,0.6468515,0.35314855,C1,Pato,3
135,0,1,0.78401417,0.21598583,C1,Barco,2
136,0,1,0.9811736,0.018826444,C1,Ciudad,1
137,0,0,0.41642958,0.5835704,C1,Campana,3
138,0,1,0.80030733,0.1996926,C1,Luna,1
139,0,1,0.9831717,0.016828211,C1,Presa,2
140,0,0,0.21881764,0.78118235,C1,Luna,2
141,0,0,0.012629837,0.98737013,C1,Hospital,2
142,0,1,0.9996165,0.0003835274,C1,Acariciar,2
143,0,1,0.87545013,0.124549836,C1,Bosque,3
144,0,0,0.1371228,0.86287725,C1,Ciudad,3
145,0,0,0.48070654,0.5192934,C1,Presa,3
146,0,1,0.6338242,0.36617577,C1,Aplaudir,2
147,0,1,0.8287451,0.17125481,C1,Petaka,2
148,0,0,0.008140441,0.9918596,C1,Pataka,1
149,0,0,0.040503282,0.9594967,C1,Petaka,1
150,0,0,0.0013099326,0.99869007,C1,Pakata,2
151,0,1,0.99869543,0.0013045948,C1,Pakata,1
152,0,0,0.06898453,0.9310155,C1,Pakata,3
153,0,1,0.88882434,0.11117566,C1,Pataka,3
154,0,0,0.17223142,0.82776856,C1,Pataka,2
155,0,0,0.12636872,0.8736313,C1,Petaka,3
156,0,1,0.99394965,0.00605032,C2,A,1
157,0,1,0.9920953,0.007904786,C2,E,1
158,0,1,0.999915,8.4936e-05,C2,A,3
159,0,0,0.00038960145,0.9996105,C2,O,1
160,0,0,0.0012572352,0.99874276,C2,O,3
161,0,0,0.26240045,0.73759955,C2,E,2
162,0,0,0.0011621569,0.9988379,C2,O,2
163,0,0,0.0011435618,0.9988564,C2,U,3
164,0,0,0.14150988,0.8584901,C2,E,3
165,0,1,0.9998807,0.00011932519,C2,A,2
166,0,0,2.9609624e-05,0.99997044,C2,U,2
167,0,1,0.9988268,0.0011732422,C2,I,2
168,0,0,0.00095661066,0.9990434,C2,U,1
169,0,1,0.8825684,0.11743156,C2,I,1
170,0,0,0.2044374,0.7955626,C2,I,3
171,0,1,0.98666966,0.013330384,C2,Montaña,2
172,0,0,0.11104642,0.8889536,C2,Luna,3
173,0,0,7.4156137e-06,0.9999926,C2,Hospital,1
174,0,0,0.0011421045,0.99885786,C2,Presa,1
175,0,1,0.88712597,0.1128741,C2,Plato,2
176,0,1,0.9993475,0.00065245293,C2,Apto,3
177,0,0,0.025717046,0.9742829,C2,Bosque,2
178,0,1,0.8217991,0.17820089,C2,Campana,1
179,0,1,0.99125236,0.0087476,C2,Campana,2
180,0,1,0.55389404,0.44610596,C2,Apto,1
181,0,1,0.99319047,0.0068095666,C2,Acariciar,1
182,0,0,0.00023059332,0.9997694,C2,Hospital,3
183,0,0,0.023497831,0.9765022,C2,Agarrar,1
184,0,0,0.00020428923,0.99979573,C2,Ciudad,1
185,0,0,0.053419594,0.9465804,C2,Hospital,2
186,0,0,0.0013314886,0.99866855,C2,Petaca,1
187,0,0,0.09855657,0.9014434,C2,Barco,3
188,0,1,0.9990477,0.000952297,C2,Aplaudir,3
189,0,1,0.9983069,0.0016930889,C2,Establo,1
190,0,1,0.9453912,0.054608826,C2,Barco,2
191,0,0,0.0012389631,0.99876106,C2,Establo,3
192,0,0,0.00019068731,0.9998093,C2,Presa,3
193,0,1,0.9587374,0.041262604,C2,Pato,1
194,0,0,0.03156866,0.9684313,C2,Aplaudir,1
195,0,1,0.994334,0.0056660087,C2,Bodega,3
196,0,0,0.0012757157,0.9987243,C2,Montaña,3
197,0,0,0.02175054,0.97824943,C2,Plato,3
198,0,0,0.31526253,0.6847375,C2,Petaca,3
199,0,0,0.08889098,0.91110903,C2,Dibujar,2
200,0,1,0.99960595,0.00039410498,C2,Campana,3
201,0,0,0.03247071,0.96752936,C2,Montaña,1
202,0,1,0.72490746,0.27509254,C2,Acariciar,2
203,0,1,0.9995976,0.00040238086,C2,Luna,2
204,0,0,0.0020366395,0.9979634,C2,Petaca,2
205,0,0,0.20996845,0.79003155,C2,Bodega,2
206,0,1,0.9703029,0.029697113,C2,Agarrar,2
207,0,0,0.041200068,0.95879996,C2,Ciudad,2
208,0,1,0.793092,0.20690799,C2,Bosque,1
209,0,1,0.88969356,0.11030649,C2,Bosque,3
210,0,1,0.9931538,0.0068461793,C2,Aplaudir,2
211,0,1,0.9139132,0.08608688,C2,Luna,1
