,Y_true,Y_pred,PK_props,C_props,Sample_ids,Exercise_g
0,0,0,0.083317965,0.91668206,C2,Montaña
1,1,1,0.5521261,0.4478739,P2,Luna
2,0,1,0.87627286,0.12372716,C0,Agarrar
3,0,0,0.2577493,0.7422507,C2,Luna
4,0,0,0.4408828,0.55911726,C0,Hospital
5,1,1,0.7429604,0.25703967,P4,Montaña
6,1,0,0.0011558005,0.99884415,P1,Plato
7,0,1,0.9916102,0.0083897635,C1,Plato
8,1,0,0.0018187308,0.99818134,P1,Luna
9,1,1,0.72728395,0.27271608,P3,Establo
10,0,1,0.7751288,0.22487119,C0,Campana
11,0,1,0.8736043,0.12639567,C0,Dibujar
12,1,1,0.74690443,0.2530956,P4,Agarrara
13,1,0,0.42632562,0.57367444,P2,Petaca
14,1,1,0.88328445,0.11671556,P3,Pataca
15,1,1,0.786451,0.21354903,P3,Luna
16,1,1,0.6695003,0.3304997,P3,Presa
17,1,0,0.16932616,0.8306739,P2,Montaña
18,0,1,0.990466,0.009534066,C1,Pato
19,1,1,0.6526716,0.3473284,P2,Ciudad
20,1,0,0.010706008,0.98929405,P0,Presa
21,0,1,0.96668553,0.033314485,C0,Luna
22,1,1,0.82879573,0.17120427,P3,Acariciar
23,1,1,0.7029908,0.29700926,P4,Luna
24,1,1,0.785691,0.2143089,P3,Presa
25,0,1,0.9925113,0.0074887457,C1,Dibujar
26,1,1,0.94066906,0.059331015,P3,Campana
27,1,1,0.6474208,0.35257915,P2,Aplaudir
28,0,0,0.08893167,0.9110683,C2,Acariciar
29,1,0,0.0110951,0.98890483,P0,Apto
30,0,0,0.16672581,0.8332742,C2,Pato
31,0,0,0.13240966,0.86759037,C2,Petaca
32,1,1,0.6781741,0.3218259,P4,Bosque
33,0,1,0.98763347,0.012366553,C1,Barco
34,1,0,0.01215791,0.9878421,P0,Campana
35,1,0,0.0026354878,0.9973646,P1,Luna
36,1,1,0.6768499,0.32315016,P3,Bosque
37,1,0,0.00100127,0.9989987,P1,Petaca
38,1,0,0.007888752,0.9921112,P0,Presa
39,1,0,0.00234242,0.99765754,P0,Petaca
40,1,0,0.006952764,0.9930473,P0,Bodega
41,1,0,0.0007932003,0.99920684,P1,Aplaudir
42,1,0,0.33969143,0.6603086,P2,Barco
43,1,0,0.0004375429,0.99956244,P1,Apto
44,0,1,0.70945364,0.29054633,C0,Bodega
45,0,1,0.6413983,0.3586017,C2,Barco
46,1,1,0.7230196,0.27698037,P3,Agarrar
47,1,1,0.947951,0.05204896,P4,Petaca
48,0,0,0.14168204,0.8583179,C2,Plato
49,1,1,0.65132916,0.34867084,P2,Hospital
50,0,1,0.94389594,0.056104034,C0,Bosque
51,1,0,0.0006472607,0.99935275,P1,Plato
52,0,0,0.318384,0.68161595,C2,Aplaudir
53,1,1,0.92904323,0.070956804,P4,Campana
54,0,1,0.9710508,0.028949222,C0,Barco
55,0,1,0.864606,0.13539402,C0,Acariciar
56,0,1,0.9802557,0.019744327,C0,Presa
57,0,1,0.99029315,0.00970678,C1,Presa
58,1,0,0.005703976,0.994296,P0,Presa
59,0,0,0.20056146,0.79943854,C2,Pato
60,0,1,0.93839526,0.061604775,C0,Agarrar
61,0,1,0.99055684,0.009443121,C1,Petaca
62,0,1,0.98014313,0.01985682,C0,Luna
63,1,0,0.0034777184,0.9965223,P0,Aplaudir
64,1,0,0.0008019973,0.999198,P1,Ciudad
65,0,1,0.989913,0.010086948,C1,Pato
66,1,0,0.011730385,0.98826957,P0,Luna
67,0,0,0.3459722,0.65402776,C0,Petaca
68,1,1,0.7051682,0.2948318,P2,Apto
69,1,0,0.008506713,0.9914932,P0,Bosque
70,0,1,0.70663977,0.2933602,C0,Pato
71,1,0,0.48520958,0.5147904,P2,Presa
72,1,1,0.9075001,0.09249992,P4,Presa
73,0,1,0.99131656,0.008683383,C1,Hospital
74,1,1,0.6632419,0.3367581,P2,Hospital
75,0,1,0.9937691,0.0062308935,C1,Ciudad
76,0,0,0.16318569,0.8368143,C2,Ciudad
77,1,0,0.001207612,0.9987924,P1,Bosque
78,1,1,0.6375513,0.3624487,P2,Aplaudir
79,1,1,0.84516495,0.15483503,P2,Establo
80,1,0,0.020803459,0.9791965,P0,Agarrar
81,1,1,0.9317418,0.0682582,P4,Acariciar
