,Y_true,Y_pred,PK_props,C_props,Sample_ids,Exercise_g,Repetition
0,0,1,0.93556094,0.064439096,C0,Establo,2
1,0,1,0.8391402,0.16085985,C0,Acariciar,3
2,0,1,0.986618,0.01338203,C0,Ciudad,3
3,0,0,0.45341754,0.54658246,C0,Agarrar,2
4,0,0,0.43028727,0.5697127,C0,Bosque,2
5,0,1,0.88395673,0.11604328,C0,Presa,2
6,0,1,0.9825392,0.01746085,C0,Luna,3
7,0,0,0.00065026595,0.9993498,C0,Hospital,1
8,0,1,0.77254575,0.22745426,C0,Presa,3
9,0,1,0.73633343,0.26366657,C0,Apto,3
10,0,1,0.9469468,0.0530532,C0,Hospital,3
11,0,1,0.8989858,0.101014204,C0,Montaña,3
12,0,1,0.9947954,0.0052045784,C0,Presa,1
13,0,1,0.58729875,0.41270122,C0,Hospital,2
14,0,1,0.58765393,0.41234604,C0,Montaña,1
15,0,1,0.70347786,0.2965221,C0,Plato,3
16,0,1,0.6381171,0.3618829,C0,Plato,2
17,0,1,0.69644326,0.30355677,C0,Plato,1
18,0,1,0.9520496,0.047950383,C0,Petaca,2
19,0,1,0.9690569,0.030943055,C0,Pato,1
20,0,1,0.8156481,0.18435186,C0,Ciudad,1
21,0,0,0.42657006,0.57342994,C0,Bodega,2
22,0,1,0.9826233,0.017376658,C0,Apto,2
23,0,1,0.6346428,0.36535722,C0,Dibujar,2
24,0,1,0.78820336,0.21179664,C0,Luna,2
25,0,1,0.79033375,0.20966625,C0,Campana,2
26,0,1,0.6895793,0.3104207,C0,Acariciar,1
27,0,1,0.7486632,0.2513368,C0,Luna,1
28,0,1,0.7792786,0.2207214,C0,Barco,1
29,0,1,0.5961444,0.40385562,C0,Bosque,1
30,0,1,0.6583925,0.3416075,C0,Campana,1
31,0,1,0.8437,0.15630001,C0,Dibujar,1
32,0,1,0.5640456,0.43595436,C0,Barco,3
33,0,1,0.61212116,0.3878788,C0,Apto,1
34,0,0,0.23818555,0.7618145,C0,Barco,2
35,0,1,0.58703893,0.4129611,C0,Campana,3
36,0,1,0.95954627,0.040453676,C0,Pato,2
37,0,1,0.94526005,0.05474002,C0,Bodega,3
38,0,0,0.49677277,0.50322723,C0,Dibujar,3
39,0,1,0.92087394,0.07912605,C0,Petaca,3
40,0,1,0.6092705,0.39072952,C0,Aplaudir,1
41,0,1,0.84064776,0.15935223,C0,Montaña,2
42,0,1,0.51263875,0.4873613,C0,Agarrar,3
43,0,1,0.97188663,0.028113393,C0,Bosque,3
